id,user_id,company_id,is_received,created_at,updated_at
,201,301,,,
,201,302,,,
,202,301,,,
,203,301,,,
,203,302,,,
,203,303,,,
,203,304,,,
,203,305,,,
,204,302,,,
,204,303,,,
,205,303,,,
,206,303,,,
,206,304,,,
,207,304,,,
,208,305,,,
,209,306,,,
,210,307,,,
,211,308,,,
,212,309,,,
,213,310,,,
,214,311,,,
,215,312,,,
,216,313,,,
,217,314,,,
,218,315,,,
,219,316,,,
,220,317,,,
,221,318,,,
,222,319,,,
,223,320,,,
,224,321,,,
,225,322,,,
,226,323,,,
,227,324,,,
,228,325,,,
,229,326,,,
,230,327,,,
,231,328,,,
,232,329,,,
,233,330,,,
,234,331,,,
,235,332,,,
,236,333,,,
,237,334,,,
,238,335,,,
,239,336,,,
